seed,lambda,SSIM,H1,S1,V1,H2,S2,V2,H3,S3,V3,H4,S4,V4,H5,S5,V5,Monochromatic,Analogous,Complementary,Triadic,Split Complementary,Double Complementary,Color,Variable,Feature,Space,Method,Subfolder
2171,11.0,9506.911,0,0,0,0,0,50,0.0,0.0,59.0,0.0,0.0,42.0,0.0,0.0,68.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,12.0,9209.958,0,0,0,0,0,53,0.0,0.0,44.0,0.0,0.0,63.0,0.0,0.0,76.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,13.0,8646.087,0,0,0,0,0,54,0.0,0.0,45.0,0.0,0.0,63.0,0.0,0.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,14.0,7868.1123,0,0,0,0,0,51,0.0,0.0,42.0,0.0,0.0,60.0,0.0,0.0,68.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,15.0,7292.1826,0,0,0,0,0,49,0.0,0.0,58.0,0.0,0.0,41.0,0.0,0.0,32.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
3712,0.0,32221.322,27,4,87,0,0,0,255.0,2.0,70.0,66.0,37.0,69.0,71.0,23.0,73.0,0.0,0.0,1.0,0.0,0.0,1.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
3712,1.0,31191.97,25,5,87,0,0,0,12.0,5.0,78.0,220.0,3.0,69.0,72.0,30.0,65.0,0.0,0.0,0.0,0.0,1.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
3712,2.0,30753.982,26,6,87,0,0,0,20.0,8.0,78.0,73.0,33.0,67.0,64.0,23.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
3712,3.0,31413.271,26,7,87,0,0,0,22.0,6.0,76.0,65.0,22.0,67.0,71.0,38.0,71.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
3712,4.0,30934.035,32,6,86,0,0,0,24.0,8.0,75.0,69.0,30.0,66.0,63.0,11.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
3712,5.0,30541.455,28,9,86,0,0,0,25.0,12.0,78.0,63.0,32.0,65.0,58.0,14.0,76.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
3712,6.0,29934.408,30,8,86,0,0,0,36.0,16.0,81.0,65.0,34.0,65.0,73.0,19.0,74.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
3712,7.0,28863.496,30,9,85,0,0,0,40.0,18.0,77.0,66.0,33.0,65.0,46.0,16.0,84.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
3712,8.0,27060.26,31,10,85,0,0,0,41.0,18.0,84.0,69.0,31.0,64.0,36.0,15.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
